Leaf Size,In Sample RMSE,Out of Sample RMSE
1,0.002728745,0.004608886
2,0.003126,0.004992719
3,0.003919349,0.004707668
4,0.004138768,0.004737435
5,0.004753329,0.004682142
6,0.004945214,0.004554317
7,0.005153524,0.004573296
8,0.005395673,0.004682734
9,0.005650579,0.004614856
10,0.005716206,0.004535446
11,0.005812469,0.004615304
12,0.006133395,0.00450133
13,0.006076936,0.004613901
14,0.006185059,0.004574893
15,0.006207249,0.004680835
16,0.00611159,0.004539851
17,0.006463427,0.004686396
18,0.006629401,0.004717998
19,0.006477909,0.00475008
20,0.006301022,0.004483297
21,0.006402576,0.004515935
22,0.00649824,0.004715042
23,0.006592531,0.004769267
24,0.006664324,0.00466595
25,0.006814597,0.00476666
26,0.006837106,0.00481816
27,0.0068466,0.004829667
28,0.006614904,0.004544873
29,0.007009495,0.004857031
30,0.007079127,0.004804929
31,0.006877135,0.004886032
32,0.006908276,0.004770023
33,0.007102583,0.004866592
34,0.007084224,0.004882873
35,0.007092394,0.004895275
36,0.007268351,0.004960162
37,0.006991474,0.00466582
38,0.00703211,0.005011179
39,0.007042967,0.004812146
40,0.007262264,0.004879604
41,0.007175661,0.004718572
42,0.007208342,0.004763243
43,0.007205753,0.004880777
44,0.007295584,0.004786246
45,0.007295064,0.004767852
46,0.007328246,0.004884895
47,0.007468674,0.004871267
48,0.007413292,0.004992723
49,0.007406365,0.004841648
50,0.007295324,0.004848268
51,0.00729861,0.004857655
52,0.007304871,0.004806685
53,0.007315812,0.004863538
54,0.007452975,0.004876358
55,0.00720623,0.004855056
56,0.007444793,0.004927896
57,0.007773153,0.004925438
58,0.007459611,0.005083094
59,0.007599556,0.005009631
60,0.007324887,0.004873856
61,0.007602762,0.005102096
62,0.007445659,0.004800524
63,0.007566757,0.005203166
64,0.00766991,0.005127291
65,0.007536722,0.00494186
66,0.007740183,0.004981793
67,0.007376227,0.004931524
68,0.007741907,0.004881824
69,0.007719761,0.004946428
70,0.007597229,0.004939717
71,0.007601997,0.004758883
72,0.007627816,0.005077142
73,0.007792084,0.005000135
74,0.007755994,0.00501438
75,0.007770712,0.005162895
76,0.007830789,0.005232615
77,0.007808843,0.005132913
78,0.007981485,0.00527487
79,0.007647066,0.00490844
80,0.007859972,0.005089587
81,0.008047793,0.005312656
82,0.007782264,0.005100829
83,0.007963237,0.005170597
84,0.007927511,0.005071852
85,0.007893086,0.00496421
86,0.00785243,0.005171018
87,0.007725532,0.004888998
88,0.007930128,0.005078009
89,0.007983371,0.005185738
90,0.007967416,0.005150488
91,0.007910429,0.005059551
92,0.007807134,0.005068914
93,0.007976848,0.005377409
94,0.008059283,0.005213015
95,0.007882543,0.005166794
96,0.008111817,0.005287073
97,0.007848674,0.004983187
98,0.008124956,0.005239988
99,0.007972354,0.005075755
100,0.008220816,0.005199295
101,0.008004482,0.005213067
102,0.007771382,0.004992826
103,0.008147352,0.005179771
104,0.008155109,0.005269077
105,0.008097162,0.005284604
106,0.008241472,0.005348076
107,0.008192004,0.005203657
108,0.008069499,0.00514096
109,0.008203663,0.005283142
110,0.007954593,0.00528106
111,0.008216809,0.005318849
112,0.00808213,0.005283541
113,0.008172139,0.005173743
114,0.008142985,0.005186578
115,0.008318775,0.005195656
116,0.008295398,0.005273307
117,0.008240871,0.005432904
118,0.008464901,0.005565417
119,0.008125368,0.005462991
120,0.00814928,0.005205776
121,0.008216541,0.005182872
122,0.008051292,0.005185042
123,0.008617007,0.005578906
124,0.0086213,0.005609841
125,0.008544693,0.005575031
126,0.008334073,0.005343902
127,0.008412434,0.005366153
128,0.008291326,0.005336051
129,0.008494929,0.005557257
130,0.008023709,0.005207168
131,0.008367281,0.005258029
132,0.00858232,0.005576521
133,0.008292106,0.00540657
134,0.008370202,0.005446162
135,0.008604158,0.005524152
136,0.008449368,0.005489318
137,0.008349406,0.005480917
138,0.008450626,0.005513804
139,0.008382321,0.005392113
140,0.00855357,0.005512605
141,0.008461786,0.005301659
142,0.008654878,0.005576312
143,0.008540343,0.005657367
144,0.008618338,0.005642182
145,0.0083943,0.005489596
146,0.008581967,0.005408188
147,0.00862786,0.005593692
148,0.008647655,0.005561192
149,0.008524643,0.005371389
150,0.008561777,0.005558143
151,0.008327635,0.005491936
152,0.008762912,0.00568353
153,0.008471513,0.005381322
154,0.008509388,0.005510276
155,0.008469704,0.005401153
156,0.008553325,0.005544256
157,0.008831046,0.005767429
158,0.008729764,0.005656194
159,0.008685206,0.005527911
160,0.008767069,0.005696753
161,0.008430794,0.005498693
162,0.008760285,0.005628542
163,0.008853835,0.005628023
164,0.008804852,0.005585519
165,0.008582527,0.005551386
166,0.008558336,0.005520877
167,0.008573259,0.005506819
168,0.008438022,0.00551927
169,0.008689561,0.005632318
170,0.008752513,0.005775352
171,0.008688053,0.005504801
172,0.008682156,0.005564344
173,0.008921431,0.005754137
174,0.008704197,0.005578852
175,0.008724796,0.005527496
176,0.008843573,0.005803094
177,0.008532001,0.005319871
178,0.008626227,0.005413639
179,0.008841379,0.005573056
180,0.008891253,0.005688901
181,0.008651568,0.005501435
182,0.008711551,0.005704487
183,0.008956342,0.005819223
184,0.008770764,0.0056815
185,0.008925956,0.005826785
186,0.008692108,0.005683254
187,0.008535653,0.005489133
188,0.008675446,0.005619058
189,0.00882179,0.005567804
190,0.008817832,0.005674655
191,0.008851881,0.005743648
192,0.008824934,0.005717802
193,0.00920165,0.005930545
194,0.008937522,0.005713721
195,0.00881553,0.005710688
196,0.008986564,0.005735523
197,0.009091199,0.005923532
198,0.009145836,0.005862645
199,0.008879523,0.005652233
200,0.009199599,0.005936059
201,0.008920642,0.005782688
202,0.009131515,0.005956721
203,0.009197888,0.005876697
204,0.009126557,0.005916235
205,0.008647758,0.005542296
206,0.008890216,0.005711671
207,0.009067878,0.005913341
208,0.008827699,0.005759624
209,0.00909439,0.005857775
210,0.00869666,0.005657255
211,0.00911386,0.005847403
212,0.008874082,0.005778579
213,0.00884757,0.005809752
214,0.008971521,0.005593511
215,0.009213971,0.00592168
216,0.009079183,0.005838408
217,0.008985005,0.005708693
218,0.0090018,0.005788106
219,0.008959238,0.005563729
220,0.00925291,0.005968776
221,0.009055538,0.005851549
222,0.008850603,0.005645708
223,0.009221504,0.006014247
224,0.008893203,0.005792136
225,0.00912784,0.005938906
226,0.009328881,0.006032624
227,0.009208288,0.005948988
228,0.009216823,0.005975187
229,0.009193312,0.006061005
230,0.008997953,0.005943909
231,0.009356192,0.006118237
232,0.009217555,0.00611792
233,0.009123122,0.005906959
234,0.00921516,0.006078965
235,0.009277759,0.006032325
236,0.009287372,0.006010071
237,0.009193641,0.005843694
238,0.009154589,0.005939887
239,0.009389375,0.006184498
240,0.009535993,0.006326816
241,0.009155657,0.005969223
242,0.009542736,0.006267094
243,0.009188412,0.006057256
244,0.00912932,0.005936051
245,0.009204647,0.006096316
246,0.009482544,0.006120313
247,0.009018386,0.005901695
248,0.009479248,0.006262409
249,0.009341615,0.006014679
250,0.009579793,0.006379669
251,0.00924134,0.006022382
252,0.009422377,0.006147173
253,0.009414869,0.006155647
254,0.009192253,0.005910814
255,0.009068884,0.005892931
256,0.009240843,0.005935062
257,0.009074272,0.005920344
258,0.009193298,0.006013787
259,0.00937758,0.006118183
260,0.009708723,0.006384839
261,0.009352762,0.006108023
262,0.009588971,0.006327161
263,0.009536437,0.006220789
264,0.009567547,0.006309137
265,0.009429708,0.006231446
266,0.00936515,0.006083679
267,0.009484231,0.00623223
268,0.009327687,0.006139507
269,0.009310112,0.006105607
270,0.00929801,0.006071043
271,0.009442504,0.006051245
272,0.009546114,0.006167704
273,0.009401237,0.006248257
274,0.00940252,0.006196161
275,0.009288214,0.00599322
276,0.00955388,0.006237734
277,0.009345392,0.006152204
278,0.009523077,0.006162143
279,0.009612149,0.006286233
280,0.009463175,0.006325951
281,0.009204768,0.006168101
282,0.0097401,0.006421784
283,0.009532463,0.006342576
284,0.009324381,0.006191187
285,0.00957036,0.006330038
286,0.009689007,0.006325541
287,0.009478745,0.006275521
288,0.009544694,0.006088357
289,0.009767669,0.006375258
290,0.009584222,0.006314734
291,0.009692748,0.00652773
292,0.009319692,0.005987769
293,0.009558869,0.006327355
294,0.009649059,0.006353496
295,0.009557939,0.006320013
296,0.009566114,0.00634387
297,0.009633304,0.006343474
298,0.009511049,0.006310534
299,0.009814888,0.006388877
300,0.009379388,0.006366708
